Title,Price,Description,Location,Ddate Posted,Features,URL
Room For Rent,$700.00,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Furnished room in house on bus routines, with double bed, desk, chair and dresser. HS wifi, laundry on site. 1st &amp; last. No smoke or pet, working professional or graduate student, international student</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">, Kingston K7M 7L3 ON, Canada</span>","<time datetime=""2019-09-04T12:32:48.000Z"" title=""September 4, 2019 12:32 PM"">about 13 hours ago</time>",Furnished : YesPet Friendly : No,
***Just $299 MONTHLY - Co-working Shared Office-New Building***,$299.00,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Now Opened - $299/month*
Toronto's 1st Real Estate Focused Coworking Office</p><p>www.TeamWorkOffice.com</p><p>Network and Networth – Let’s build with TeamWork!
MONTH TO MONTH – NO LONG LEASES!
Book a Tour and FREE Day Pass TODAY!
MONTH TO MONTH – NO LONG LEASES!</p><p>Membership Features:
•	Fully Furnished &amp; Brand New
•	Private and Dedicated Office
•	High-Speed Internet
•	Professional Cleaning
•	Business Lounge Access</p><p>Add-ons:
•	Seminar and Training Center
•	Boardroom with Video Conferencing Facility
•	Reception Services
•	Online Community Access for Discussions
•	Mail Box and Virtual Mail
•	Signage
•	Printing/Copying/Scanning/Faxing
•	Sponsorship Opportunity on all our media
•	Photography/Videography Studio
•	Business Marketing Pool
•	Pop Up Shop for Display Services</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">115 Lebovic Ave, Scarborough, ON M1L 4V9, Canada</span>","<time datetime=""2019-09-04T12:32:40.000Z"" title=""September 4, 2019 12:32 PM"">about 13 hours ago</time>",Furnished : Yes,
Master bedroom,Please Contact,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>One master bedroom available from 12Sept, with private washroom.Looking for 2 girls to share.
450 per person.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">180 ho, Brampton L6S 1B5 ON, Canada</span>","<time datetime=""2019-09-04T12:32:29.000Z"" title=""September 4, 2019 12:32 PM"">about 13 hours ago</time>",Furnished : NoPet Friendly : Yes,
Wanted: Looking for 2 room basement ,Please Contact,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>One married couple and sister looking for 2 room basement on reasonable rates with all utilities. Pure vegetarian quiet calm and non smoker. If any place available from Oct pls let me know. Thanku</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">Antrim Crescent, Toronto, ON M1P 4P2, Canada</span>","<time datetime=""2019-09-04T12:32:28.000Z"" title=""September 4, 2019 12:32 PM"">about 13 hours ago</time>",Furnished : Yes,
MODERN | INDUSTRIAL | HISTORIC - Treble Hall (Nov. 15th move-in),"$1,650.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Yoke Group presents Treble Hall<br/><br/>Unit 302 available for November 15th 2019.<br/>1 bedroom.<br/><br/>A Historic luxury living experience. Everything is brand new including open concept kitchen with island, stainless steel appliances, in-suite laundry, dishwasher and 3-piece bathroom. The units feature 200 year old wood beams and exposed brick. As well as an ample of light facing King Street and John Street.</p><p>The building is located downtown Hamilton at the corner of King and John and is steps away from the best restaurants in the city including The French, and right above Toast Wine Bar. City transportation is directly in front of the building and is steps away from Hamilton Go Station.<br/><br/></p><p><strong>SUITE FEATURES:</strong><br/>Open-concept kitchen with ample counter space &amp; modern kitchen cabinets<br/>Original hardwood flooring<br/>Exposed 200 year old brick and wood beams<br/>All new stainless-steel appliances and dishwasher<br/>23 foot ceilings<br/>A/C &amp; heating<br/>Ample natural light from expansive windows<br/>Brand new, 3-piece washroom including a bathtub</p><p><strong>PROPERTY FEATURES:</strong><br/>State-of-the-art security cameras, and lighting system<br/>Elevator &amp; buzzer system<br/>Public transit at your doorstep<br/>Hamilton-based property management that is proactive, responsive &amp; reliable<br/>Separately metered utilities.<br/>You only pay for what you use, do you dont subsidize your neighbours<br/>(Landlord pays for water and gas)</p><p><strong>NEIGHBOURHOOD AMENITIES:</strong><br/>Hamiltons best restaurants &amp; bars: Toast Wine Bar, The Mule, The French, HAMBRGR &amp; more</p><p><strong>WALKING DISTANCES:</strong><br/>Walk Score is 99 and is a very walkable location<br/>Transit Score is 88 and has excellent transit options<br/><br/></p><p>Call us to book an appointment 289-426-5692 or reply to this ad.<br/>To book a showing online:https://calendly.com/caitlyns/treble-hall-showing</p><p>www.yokegroup.ca</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">8 John Street North, Hamilton, ON, L8R 1G9</span>","<time datetime=""2019-09-04T12:32:26.000Z"" title=""September 4, 2019 12:32 PM"">about 13 hours ago</time>",Unit TypeApartment : Bedrooms1 : Bathrooms1 : Parking Included0 : Agreement Type1 Year : Pet FriendlyNo : FurnishedNo : Air ConditioningYes : Smoking PermittedNo : Barrier-free Entrances and RampsYes : ,
RENOVATED STUDIO BACHELOR ON ST. PAUL,$999.00,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Yoke Group presents 233 St Paul</p><p>1 bedroom unit with high ceilings, expansive windows &amp; hardwood floors.</p><p>The building is located downtown St Catharines right above HAMBRGR and is steps away from everything in Downtown.<br/><br/></p><p><strong>SUITE FEATURES</strong></p><p>Large kitchen with ample counter space &amp; modern kitchen cabinets</p><p>All new stainless-steel appliances and dishwasher</p><p>A/C &amp; heating</p><br/><p><strong>PROPERTY FEATURES</strong></p><p>Close to all amenities</p><p>Public transit steps away</p><p>Hamilton-based property management that is proactive, responsive &amp; reliable</p><p>Separately metered utilities. You only pay for what you use, do you dont subsidize your neighbours (Landlord pays gas and water)</p><p>Laundry within building<br/><br/></p><p><strong>NEIGHBOURHOOD AMENITIES</strong></p><p>St Cathariness best restaurants &amp; bars: Lost and Found, HAMBRGR &amp; more</p><p>Right across from First Ontario Center</p><p></p><p>Call to book an appointment 289-426-5692 or reply to this ad.</p><p>www.yokegroup.ca</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">235 St. Paul Street, St. Catharines, ON, L2R 3M6</span>","<time datetime=""2019-09-04T12:32:24.000Z"" title=""September 4, 2019 12:32 PM"">about 13 hours ago</time>","Unit TypeApartment : Bedrooms1 : Bathrooms1 : Parking Included0 : Agreement Type1 Year : Move-In DateSeptember 1, 2019 : Pet FriendlyNo : FurnishedNo : Air ConditioningYes : Smoking PermittedNo : ",
bachelor apt for rent,"$1,275.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>bachelor apt on the second flor of a 3 storey apt.building-available immediately---ttc 24/7 subway 5 minutes--need good reference from landlords----good credit---last 6 months bank statement--call 647-930-4642 or 416-558-2912-no messages or e mails</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">1774 Eglinton Ave W, York, ON M6E 2H6, Canada</span>","<time datetime=""2019-09-04T12:32:24.000Z"" title=""September 4, 2019 12:32 PM"">about 13 hours ago</time>","Unit TypeApartment : BedroomsBachelor/Studio : Bathrooms1 : Parking Included0 : Agreement Type1 Year : Move-In DateSeptember 4, 2019 : Pet FriendlyNo : Size (sqft)500 : FurnishedYes : Air ConditioningNo : Smoking PermittedNo : ",
"2 Bedroom + den , in the heart of wortley village OCT 1ST","$1,600.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Newly revovated 2 bedroom + den</p><p>master bedroom with large walkin closet</p><p>newly renovated bathroom with jucuzzi tub.</p><p>kitchen includes refrigerator, a brand new gas stove and a brand new dish washer.</p><p>all new windows</p><p>all new flooring</p><p>backyard backs onto thames park with stunning views of downtown</p><p>walking distance to downtown ,grocery store ,numerous restaurants</p><p>washer and dryer included</p><p>fire inspected and certified with updated electrical panel</p><p>seeking mature adults</p><p>1600 + personal hydro , available OCTOBER 1ST</p><p>This KIJIJI add get deleted and re-added daily,
Dont save the add, same my phone number</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">49 Craig St, London, ON N6C 1E9, Canada</span>","<time datetime=""2019-09-04T12:32:22.000Z"" title=""September 4, 2019 12:32 PM"">about 13 hours ago</time>","Unit TypeApartment : Bedrooms2 + Den : Bathrooms1 : Parking Included2 : Agreement Type1 Year : Move-In DateOctober 1, 2019 : Pet FriendlyLimited : Size (sqft)2,000 : FurnishedNo : Air ConditioningYes : Smoking PermittedOutdoors Only : ",
Parking Spots (Brybeck Crescent),$80.00,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Two parking spots available for rent at $60 per month (per spot)
8 minute walk to Catalyst or Belmont Village</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">35 Brybeck Crescent, Kitchener, ON N2M 2C5, Canada</span>","<time datetime=""2019-09-04T12:32:09.000Z"" title=""September 4, 2019 12:32 PM"">about 13 hours ago</time>",More Info : Parking,
Furnished house  on  Rideau lakes.,"$2,400.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Just 5 minutes from Smiths Falls , this fully furnished home located on the shores of Rideau lake is available for short term rental from November 1st to May 1st.
Two car garage, office area, high speed internet service, gas fireplace in family room. Game room with pool table. Hot tub.
The most spectacular sunsets.
Two full baths, master with jacuzzi tub, on- suite with second bedroom. Third bedroom presently set-up as office could be easily third bedroom. Laundry room, all typical appliances.
Non smoker.
2,400 per month plus heat and hydro.
First month and damage deposit.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">K7A5B8, Canada</span>","<time datetime=""2019-09-04T12:32:05.000Z"" title=""September 4, 2019 12:32 PM"">about 13 hours ago</time>",Bedrooms : 3Bathrooms : 2Furnished : Yes,
"Large 3 bedroom, 2 baths, condo apartment on ground floor.","$2,650.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Large 3 bedroom, 2 baths, condo apartment on ground floor.
Buses and Go train all very close and Hillcrest Mall on next block.
Master bedroom, walk in closet, 4 pc. bathroom.
Second and third bedroom with closet.
Main bathroom 4pc., and laundry room with washer and dryer.
Kitchen with all appliances.
2 car underground parking and storage locker.
Outdoor swimming pool and club house recreation.
Call: 416 436 4354</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">70 Baif, L4C 5L2, Richmond Hill, ON</span>","<time datetime=""2019-09-04T12:31:39.000Z"" title=""September 4, 2019 12:31 PM"">about 13 hours ago</time>","Unit TypeCondo : Bedrooms3 : Bathrooms2 : Parking Included2 : Agreement Type1 Year : Move-In DateSeptember 15, 2019 : Pet FriendlyNo : Size (sqft)1,400 : FurnishedNo : Air ConditioningYes : Smoking PermittedNo : ",
3 Bdrm House for Rent - Brand New Floors & Paint,"$1,995.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>This 3 bdrm detached home rents for $1995/mnth plus utilities.</p><p>1500 sq ft including finished basement.</p><p>Features: -</p><p>• Brand new paint throughout - ready for Oct 1
• Brand new carpet on all stairs - ready for Oct 1
• Brand new laminate flooring on top floor &amp; finished basement - ready for Oct 1
• Finished basement including 2-piece bathroom
• 6 appliances including dishwasher &amp; microwave
• All window coverings
• Hardwood in living room
• Central Vacuum
• Air Conditioning
• Garage with door opener
• Fully fenced back yard complete with a shed, convenient gas fire pit and a stone patio
• Great location in popular south end of Barrie on bus route with 2 plazas, schools and amenities nearby</p><p>Applicant must be employed.</p><p>First and last, references, application and credit check are required.</p><p>Please leave your name &amp; PHONE NUMBER to arrange a viewing. Thank you.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">, L4N 9Z2, Barrie, ON</span>","<time datetime=""2019-09-04T12:31:12.000Z"" title=""September 4, 2019 12:31 PM"">about 13 hours ago</time>","Unit TypeHouse : Bedrooms3 : Bathrooms1.5 : Parking Included3+ : Agreement Type1 Year : Move-In DateOctober 1, 2019 : Pet FriendlyLimited : Size (sqft)1,500 : FurnishedNo : Air ConditioningYes : Smoking PermittedOutdoors Only : ",
Room for rent ASAP university or college students.,Please Contact,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Middle room 550$ no exceptions.
Utilities included
International students
(No sharing allowed in this room)</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">239 Crawford Ave, Windsor, ON N9A 5C3, Canada</span>","<time datetime=""2019-09-04T12:31:08.000Z"" title=""September 4, 2019 12:31 PM"">about 13 hours ago</time>",Furnished : YesPet Friendly : No,
OUTDOOR AND ONSITE STORAGE SPECIAL 8'X20' $100.00/MTH,Please Contact,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>584 HAZELHURST DRIVE MISSISSAUGA ***WINSTON CHURCHILL BLVD/ROYAL WINDSOR AREA
3 MONTH SPECIAL ONSITE STORAGE 8'X20' $100.00 PER MONTH PLUS TAX
OUTDOOR PARKING up to 100 Trailers STARTING AT $150 per trailer plus tax
(pricing vary based on length!!!)
CARS RV'S TRUCKS CALL/TEXT DETAILS FOR RATES
CONTRACTORS WELCOME
ONSITE STORAGE UNITS REGULAR PRICING 8'X20' $150 Per month plus tax
In Mississauga available immediately
GATED AND FENCED 24/7 VIDEO CAMERAS
9056935355</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">Mississauga, ON L4T0A2, Canada</span>","<time datetime=""2019-09-04T12:31:07.000Z"" title=""September 4, 2019 12:31 PM"">about 13 hours ago</time>",More Info : Parking,
Wanted: Im Looking for a One Bedroom Apartment $500 to $700.00,Please Contact,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Im Looking for a 1 Bedroom Apartment in the Ottawa Area. Asap Move In.
I work full time in Renovation and Repairs. I can pay Cash first and Last ASAP.
Seperate Entrance and if You Have Parking . If not ok.
Between $500.00 to $700.00
Please text Jay 647-667-5082</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">, Ottawa m6h3s4 ON, Canada</span>","<time datetime=""2019-09-04T12:30:52.000Z"" title=""September 4, 2019 12:30 PM"">about 13 hours ago</time>","Unit TypeHouse : Bedrooms1 : Bathrooms1 : Parking Included1 : Agreement TypeMonth-to-month : Move-In DateSeptember 21, 2019 : Pet FriendlyLimited : Size (sqft)500 : FurnishedNo : Air ConditioningNo : Smoking PermittedNo : ",
basement for rent,Please Contact,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Basement, living area plus 1 bedroom, bathroom.
Close to Highway, shopping mall, Ottawa University LA City college. Preferred lady student or working.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">1737 jobin cr., k1j 1c4, gloucester, ON</span>","<time datetime=""2019-09-04T12:30:26.000Z"" title=""September 4, 2019 12:30 PM"">about 13 hours ago</time>",Furnished : YesPet Friendly : No,
Wanted: Looking for room to rent HUMBER NORTH CAMPUS,$600.00,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Hello, my name is Sean.
I am a post grad student studying Pharmaceutical Regulatory Affairs at Humber for the 2019-2020 school year.
I am looking for a room in an apartment/basement/house to rent from September (mid September or October) 2019- April 2020. Ideally I’m looking for a place all inclusive of utilities and wifi. And my price range I’m looking for is around $600/month.
About me:
I am a responsible, easy going, professional student who is just looking for a place to study and sleep. I’ve completed my undergrad at the University of Ottawa and I am respectful to all preferences you may have with regards to renting.
If you have anything please let me know via email or text with location, price, and what is included and if possible some pictures of the place.
Thank you
613-854-9432</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">M9W5L7, Canada</span>","<time datetime=""2019-09-04T12:30:09.000Z"" title=""September 4, 2019 12:30 PM"">about 13 hours ago</time>",Furnished : Yes,
Argento - Luxury Condo for Rent,"$1,900.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Luxury 1 bedroom condo is available for rent in North York. Excellent Tridel built condo building with amazing building amenities. This condo features modern stainless steel appliances, lovely laminate flooring and gorgeous kitchen. Parking and locker included for your convenience! Contact us now to come and see it!</p><br/><strong>Building Overview</strong><br/>Argento's elegantly designed common spaces meld the beauty of the outdoors with peerless modern design. With an exquisite lobby evocative of the night sky, Argento pays tribute to the natural beauty of its location overlooking elegant Graydon Hall Park and the Donalda Golf and Country Club, near the banks of the Don River. Equipped with all the luxuries you expect from a country club setting-24-hour concierge service, steam rooms, a state of the art fitness facility, entertainment spaces, fully landscaped outdoor terrace, and more-Argento gives you upscale living wrapped in the serene, minutes from Fairview Mall, schools, dining, the Don Valley Parkway, and Highway 401.<br/><br/><strong>Building Features</strong><br/>24 hours Concierge,Movie Theatre,Steam Room,Barbecue Facility,Fitness Centre,Party Lounge,Terrace<br/><br/><strong>Location Details</strong><br/>North York</div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">18 Graydon Hall Drive, Toronto, ON, M3A 0A4</span>","<time datetime=""2019-09-04T12:30:01.000Z"" title=""September 4, 2019 12:30 PM"">about 13 hours ago</time>",Unit TypeApartment : Bedrooms1 : Bathrooms1 : Pet FriendlyNo : Size (sqft)539 : FurnishedNo : ,
*Stunning 2 Bedroom Apartment in Sandy Hill | October 1st!,"$2,100.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p><strong>91 Russell Avenue | Available October 1st | Professionally Managed by Sleepwell Property Management</strong><br/><br/>The apartments are large, bright and well designed in this purpose-built building. Located in the heart of Sandy Hill, city life is at your door step. Ottawa U, Centretown, Lowertown, and the Byward Market are all within walking distance. The Rideau River parks and walk ways are several blocks east. Plenty of transportation is handy.</p><p>UNIT FEATURES:</p><ul><li>Gorgeous, newly renovated 2 bedroom apartment</li><li>1 beautiful full bathroom</li><li>Hardwood floors</li><li>Great closet space</li><li>Stainless steel fridge, stove, built-in microwave, and dishwasher included</li><li>Air conditioning</li><li>En suite laundry</li><li>Indoor/outdoor parking available ($120/100 per month)</li></ul><strong>Utilities Extra:</strong><br/><ul><li>Hydro</li></ul><strong>Utilities Included:</strong><br/><ul><li>Heat</li><li>Water</li><li>Hot Water</li></ul></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">91 Russell Avenue, Ottawa, ON, K1N 7X2</span>","<time datetime=""2019-09-04T12:30:01.000Z"" title=""September 4, 2019 12:30 PM"">about 13 hours ago</time>",Unit TypeApartment : Bedrooms2 : Bathrooms1 : Parking Included0 : Agreement Type1 Year : Pet FriendlyYes : FurnishedNo : Air ConditioningNo : Smoking PermittedNo : ,
Condo for Rent - Cobourg. Immediate Availability.,"$2,400.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Very desirable building close to downtown. Recently painted white . Ground floor unit. Open living room / dining room with large eat in kitchen. Master bedroom w 4 pc. ensuite and walk in. Second full 3 pc bathroom and in suite laundry. Please call me for details - will be setting appts for showing Saturday, September 7th.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">352 Ball St, Cobourg, ON K9A 3J2, Canada</span>","<time datetime=""2019-08-31T11:45:50.000Z"" title=""August 31, 2019 11:45 AM"">5 days ago</time>","Unit TypeCondo : Bedrooms2 : Bathrooms2 : Parking Included1 : Agreement Type1 Year : Move-In DateSeptember 15, 2019 : Pet FriendlyLimited : Size (sqft)1,200 : FurnishedNo : Air ConditioningYes : Smoking PermittedNo : ",
All-inclusive student room in a high end 3 and 4 bdrm apartment,$500.00,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>We offer rooms in a superb 3 &amp; 4-bedroom apartment fully furnished for students. Nearby UQO and UOttawa.</p><p>Prices: 500$, 525$, 625$ and 650$ /month</p><p>Description
- All-inclusive and fully furnished (internet, utilities, kitchen essentials, and more…)
- Near all amenities and bus stops (Regular and express lines to UQO, Ottawa U and downtown)
- A unique opportunity in a quiet, residential neighborhood; close to green and recreation areas. A must seen!!!</p><p>Features
- High speed unlimited Wi-Fi, hydro, heating, washer/dryer, ...
- Fully furnished individual locked rooms with: - Bed and mattress - Desk - Chair - Book shelf - Wardrobe (closet).
- Common living areas: - Living room, - Large bathroom, - Laundry rom, - Fully equipped kitchen with fridge, stove, microwave, utensils, dish-ware, cutlery and more.</p><p>- Buses: Across the street. 39, 25, 26, 28
- 5 minutes walking distance to shops, cinema, groceries, pharmacies, banks, coffee shop, ...
- No smoking and no pets.</p><p>Contact: Edouard: 613 255 2836</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">3 Rue de la Rosée, Gatineau J9A3J6 QC</span>","<time datetime=""2019-09-04T14:00:56.000Z"" title=""September 4, 2019 2:00 PM"">about 12 hours ago</time>",Furnished : YesPet Friendly : No,
Brand New Studio Condo at Downtown Minto Westside Condos,"$1,850.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Brand new studio condo at Minto Westside Condos
(https://www.minto.com/gta/new-condos/Minto-Westside/main.html)
436 SQ.FT.
Bathurst and Front
First day of occupancy is Sept 4, 2019.</p><p>Internet and TV free for the first 6 months.</p><p>Please provide a link to your LinkedIn profile.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">576 Front St W, Toronto, ON M5V 1C1, Canada</span>","<time datetime=""2019-08-26T05:33:50.000Z"" title=""August 26, 2019 5:33 AM"">10 days ago</time>","Unit TypeCondo : BedroomsBachelor/Studio : Bathrooms1 : Parking Included0 : Agreement Type1 Year : Move-In DateSeptember 4, 2019 : Pet FriendlyNo : Size (sqft)436 : FurnishedNo : Air ConditioningYes : Smoking PermittedOutdoors Only : ",
Room for Female Rent (Yonge and Sheppard),$900.00,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Do you want to live in a beautiful home and walking distance to prime Yonge/Sheppard and subway station?</p><p>We are only looking for professional female working people, international or mature students. The house is very clean and located in a safe, and peaceful neighbourhood. Room has large window and large in size.</p><p>Walking distance to everything you need: Yonge/Sheppard Subway Station, Supermarket, Bus Stops, Schools, Restaurants, Highway 401 and many more.</p><p>Utilities and High Speed Wifi Internet are included.</p><p>The kitchen, washroom and laundry are shared.</p><p>Only one person per room.</p><p>No smoking, No pets, No drinking, and No parties.</p><p>Please only Call or Text directly at 416-399-4229 because I don't often check Kjiji message.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">, Toronto M2N 5L7 ON, Canada</span>","<time datetime=""2019-08-31T16:44:24.000Z"" title=""August 31, 2019 4:44 PM"">4 days ago</time>",Furnished : YesPet Friendly : No,
Prime Durand Retail Space | Downtown Hamilton,$25.00,"[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p>Excellent opportunity to locate your business in the <strong>desirable Durand neighbourhood</strong>! Located steps from the twin 32-storey Television City condo towers, and under 10 minute walking distance to Locke Street, Hunter GO Station, Hess Village, and King/Main street arterial roadways. Landlord willing to offer <strong>favourable tenant incentives</strong>.</p><p>The property is under redevelopment, with exciting plans to renew the facade and renovate the interior.</p><p><strong>Unit #2 - 1,371 sqft @ $25 psf</strong></p><p><strong>TMI $6.96 psf</strong></p><p>Contact us at <strong>289-203-5996 or email leasing@forgeandfoster.ca</strong> to learn more details and secure your spot in this upcoming retail destination in the Durand Neighborhood.</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">140 Caroline St S, Hamilton, ON, L8P 3K8</span>","<time datetime=""2019-08-15T19:48:08.000Z"" title=""August 15, 2019 7:48 PM"">20 days ago</time>",Furnished : No,
Fantastic 2 bedroom apartment for rent!,"$1,415.00","[<div class=""descriptionContainer-3544745383""><h3 class=""title-1536205785"">Description</h3><div><p><strong>Great 2 bedroom apartment, AMENITIES GALORE! Office open daily, CALL TODAY!</strong><br/><br/><strong>2 bedroom apartments starting at $1,415*</strong><br/><br/>Realstars Prince William Apartments are ideally located in the heart of Belleville, with public transit found right outside the front door and access to the major thoroughfare of Dundas Street only one block away. The Bay of Quinte and easy access to Bayview Heights Park make this a great location for anyone looking to rent.</p><p>- Fridge and stove<br/>- In-suite storage<br/>- Fitness facility<br/>- Outdoor pool<br/>- Sauna<br/>- Social room with numerous events<br/>- Laundry facility<br/>- On-site storage <br/>- Covered and surface parking<br/>- 24/7 on-site management<br/>- Close to Bay View Mall, Loblaws and Shoppers Drug Mart</p><p>Suite Features:<br/> Fridge and stove<br/> Carpeted flooring<br/> In-suite storage<br/> Balcony<br/> Air conditioning included</p><p>Property Features:<br/> Outdoor pool<br/> Sauna<br/> Fitness facility<br/> Social room with events<br/> Laundry facility<br/> Secured entry<br/> Covered and surface parking<br/> 24/7 on-site management</p><p>Neighbourhood / Attractions:<br/> LCBO<br/> Food Basics<br/> Minutes to downtown<br/> McDonald's<br/><br/>Living with Realstar (Proudly Managed by Realstar)<br/>Live well with 24 hour on-site management. Realstar strives to provide you with a superior living experience and exceptional resident care. We organized social events that foster a sense of community. Realstar buildings are impeccably clean, well maintained and environmentally efficient.<br/>The rental office is open daily with 24 hour application approval. Realstar makes renting easy. Come view this apartment today!</p><p>*Pricing and availability subject to change without notice, E &amp; O.E.<br/><br/><strong>165 Herchimer Avenue<br/>Belleville, Ontario<br/>Canada, K8N 5M1<br/><br/></strong>Contact Us:<br/>(613) 480-6469</p></div></div>]","<span class=""address-3617944557"" itemprop=""address"" itemscope="""" itemtype=""http://schema.org/PostalAddress"">165 Herchimer Avenue, Belleville, ON, K8N 5M1</span>","<time datetime=""2019-09-04T12:36:00.000Z"" title=""September 4, 2019 12:36 PM"">about 13 hours ago</time>",Unit TypeApartment : Bedrooms2 : Bathrooms1 : Parking Included0 : Agreement Type1 Year : Pet FriendlyLimited : FurnishedNo : Air ConditioningYes : Smoking PermittedNo : ,
